index,time_s,pu,adc_value,label
61,1.22,0.9967,679,normal
62,1.24,1.0016,683,normal
63,1.26,1.0059,685,normal
64,1.28,1.0071,686,normal
65,1.30,1.0079,687,normal
66,1.32,0.9965,679,normal
67,1.34,0.9954,678,normal
68,1.36,1.0086,687,normal
69,1.38,0.9981,680,normal
70,1.40,0.9872,673,normal
71,1.42,0.9887,674,normal
72,1.44,0.9908,675,normal
73,1.46,1.0050,685,normal
74,1.48,1.0014,682,normal
75,1.50,1.0069,686,normal
76,1.52,0.9957,679,normal
77,1.54,1.0016,683,normal
78,1.56,1.0063,686,normal
79,1.58,0.9969,679,normal
80,1.60,1.0046,685,normal
81,1.62,0.9934,677,normal
82,1.64,0.9964,679,normal
83,1.66,0.9962,679,normal
84,1.68,0.9880,673,normal
85,1.70,1.0049,685,normal
86,1.72,0.9953,678,normal
87,1.74,1.0001,682,normal
88,1.76,1.0048,685,normal
89,1.78,1.0045,685,normal
90,1.80,1.0067,686,normal
91,1.82,0.9990,681,normal
92,1.84,0.9958,679,normal
93,1.86,0.9992,681,normal
94,1.88,0.9831,670,normal
95,1.90,0.9855,672,normal
96,1.92,0.9868,672,normal
97,1.94,0.9900,675,normal
98,1.96,1.0040,684,normal
99,1.98,0.9909,675,normal
100,2.00,0.9962,679,normal
101,2.02,1.0130,690,normal
102,2.04,0.9964,679,normal
103,2.06,1.0074,687,normal
104,2.08,0.9907,675,normal
105,2.10,0.9979,680,normal
106,2.12,0.9905,675,normal
107,2.14,0.9966,679,normal
108,2.16,1.0084,687,normal
109,2.18,0.9827,670,normal
110,2.20,1.0043,684,normal
111,2.22,1.0024,683,normal
112,2.24,0.9941,677,normal
113,2.26,0.9855,672,normal
114,2.28,1.0007,682,normal
115,2.30,0.9947,678,normal
116,2.32,1.0023,683,normal
117,2.34,1.0002,682,normal
118,2.36,1.0160,692,normal
119,2.38,0.9976,680,normal
120,2.40,0.9898,675,normal
121,2.42,1.0018,683,normal
122,2.44,1.0022,683,normal
123,2.46,1.0136,691,normal
124,2.48,1.0084,687,normal
125,2.50,1.0036,684,normal
126,2.52,1.0146,691,normal
127,2.54,0.9881,673,normal
128,2.56,0.9936,677,normal
129,2.58,0.9907,675,normal
130,2.60,0.9961,679,normal
131,2.62,0.9862,672,normal
132,2.64,1.0064,686,normal
133,2.66,0.9978,680,normal
134,2.68,0.9853,671,normal
135,2.70,0.9898,675,normal
136,2.72,1.0031,684,normal
137,2.74,1.0084,687,normal
138,2.76,1.0200,695,normal
139,2.78,1.0291,701,normal
140,2.80,1.0041,684,normal
141,2.82,0.9901,675,normal
142,2.84,0.9787,667,normal
143,2.86,1.0027,683,normal
144,2.88,0.9919,676,normal
145,2.90,0.9958,679,normal
146,2.92,0.9939,677,normal
147,2.94,0.9986,681,normal
148,2.96,1.0107,689,normal
149,2.98,1.0016,683,normal
150,3.00,0.9984,680,normal
151,3.02,0.9896,674,normal
152,3.04,0.9833,670,normal
153,3.06,0.9951,678,normal
154,3.08,0.9995,681,normal
155,3.10,1.0177,694,normal
156,3.12,1.0013,682,normal
157,3.14,1.0098,688,normal
158,3.16,0.9950,678,normal
159,3.18,0.9882,673,normal
160,3.20,0.9903,675,normal
161,3.22,0.9927,677,normal
162,3.24,1.0213,696,normal
163,3.26,0.9918,676,normal
164,3.28,1.0084,687,normal
165,3.30,0.9910,675,normal
166,3.32,1.0093,688,normal
167,3.34,1.0038,684,normal
168,3.36,0.9984,680,normal
169,3.38,0.9996,681,normal
170,3.40,0.9935,677,normal
171,3.42,1.0045,685,normal
172,3.44,0.9955,678,normal
173,3.46,0.9877,673,normal
174,3.48,0.9872,673,normal
175,3.50,1.0017,683,normal
176,3.52,1.0158,692,normal
177,3.54,1.0016,683,normal
178,3.56,0.9988,681,normal
179,3.58,1.0029,683,normal
180,3.60,1.0131,690,normal
181,3.62,1.0022,683,normal
182,3.64,0.9959,679,normal
183,3.66,1.0111,689,normal
184,3.68,1.0043,684,normal
185,3.70,1.0154,692,normal
186,3.72,1.0018,683,normal
187,3.74,0.9878,673,normal
188,3.76,0.9863,672,normal
189,3.78,1.0165,693,normal
190,3.80,1.0172,693,normal
191,3.82,0.9982,680,normal
192,3.84,0.9962,679,normal
193,3.86,1.0146,691,normal
194,3.88,0.9889,674,normal
195,3.90,0.9911,675,normal
196,3.92,1.0064,686,normal
197,3.94,0.9961,679,normal
198,3.96,0.9999,681,normal
199,3.98,0.9984,680,normal
200,4.00,1.0034,684,normal
201,4.02,1.0141,691,normal
202,4.04,1.0009,682,normal
203,4.06,1.0064,686,normal
204,4.08,0.9795,668,normal
205,4.10,0.9995,681,normal
206,4.12,0.9916,676,normal
207,4.14,0.9878,673,normal
208,4.16,0.9912,676,normal
209,4.18,0.9967,679,normal
210,4.20,1.0092,688,normal
211,4.22,0.9867,672,normal
212,4.24,1.0003,682,normal
213,4.26,0.9952,678,normal
214,4.28,0.9967,679,normal
215,4.30,1.0100,688,normal
216,4.32,1.0054,685,normal
217,4.34,1.0134,691,normal
218,4.36,0.9985,680,normal
219,4.38,0.9930,677,normal
220,4.40,0.9978,680,normal
221,4.42,1.0024,683,normal
222,4.44,1.0018,683,normal
223,4.46,0.9892,674,normal
224,4.48,1.0009,682,normal
225,4.50,1.0023,683,normal
226,4.52,1.0252,699,normal
227,4.54,1.0188,694,normal
228,4.56,0.9915,676,normal
229,4.58,0.9971,680,normal
230,4.60,0.9854,672,normal
231,4.62,0.9941,677,normal
232,4.64,1.0032,684,normal
233,4.66,1.0121,690,normal
234,4.68,0.9927,677,normal
235,4.70,0.9935,677,normal
236,4.72,0.9785,667,normal
237,4.74,0.9984,680,normal
238,4.76,0.9894,674,normal
239,4.78,0.9947,678,normal
240,4.80,0.9912,676,normal
241,4.82,0.9991,681,normal
242,4.84,0.9824,670,normal
243,4.86,0.9853,671,normal
244,4.88,1.0213,696,normal
245,4.90,0.9871,673,normal
246,4.92,0.9890,674,normal
247,4.94,1.0184,694,normal
248,4.96,1.0291,701,normal
249,4.98,0.9883,674,normal
250,5.00,0.9963,679,normal
251,5.02,1.0034,684,normal
252,5.04,1.0173,693,normal
253,5.06,0.9901,675,normal
254,5.08,0.9975,680,normal
255,5.10,1.0078,687,normal
256,5.12,1.0043,684,normal
257,5.14,0.9962,679,normal
258,5.16,0.9987,681,normal
259,5.18,0.9863,672,normal
260,5.20,0.9976,680,normal
261,5.22,0.9973,680,normal
262,5.24,1.0023,683,normal
263,5.26,0.9944,678,normal
264,5.28,1.0047,685,normal
265,5.30,1.0101,688,normal
266,5.32,1.0016,683,normal
267,5.34,1.0035,684,normal
268,5.36,1.0005,682,normal
269,5.38,1.0000,682,normal
270,5.40,0.9928,677,normal
271,5.42,1.0032,684,normal
272,5.44,0.9990,681,normal
273,5.46,1.0209,696,normal
274,5.48,1.0157,692,normal
275,5.50,1.0039,684,normal
276,5.52,0.9924,676,normal
277,5.54,0.9889,674,normal
278,5.56,1.0119,690,normal
279,5.58,1.0026,683,normal
280,5.60,1.0048,685,normal
281,5.62,0.9826,670,normal
282,5.64,1.0093,688,normal
283,5.66,1.0045,685,normal
284,5.68,0.9889,674,normal
285,5.70,0.9953,678,normal
286,5.72,1.0026,683,normal
287,5.74,1.0005,682,normal
288,5.76,0.9971,680,normal
289,5.78,0.9990,681,normal
290,5.80,0.9975,680,normal
291,5.82,1.0015,683,normal
292,5.84,1.0147,692,normal
293,5.86,0.9743,664,normal
294,5.88,0.9976,680,normal
295,5.90,1.0018,683,normal
296,5.92,1.0030,684,normal
297,5.94,0.9963,679,normal
298,5.96,0.9824,670,normal
299,5.98,1.0033,684,normal
300,6.00,0.3994,272,sag
301,6.02,0.3927,267,sag
302,6.04,0.3959,269,sag
303,6.06,0.4063,277,sag
304,6.08,0.4000,272,sag
305,6.10,0.4034,275,sag
306,6.12,0.4067,277,sag
307,6.14,0.3963,270,sag
308,6.16,0.4076,277,sag
309,6.18,0.4038,275,sag
310,6.20,0.3877,264,sag
311,6.22,0.4144,282,sag
312,6.24,0.3950,269,sag
313,6.26,0.3834,261,sag
314,6.28,0.3895,265,sag
315,6.30,0.3898,265,sag
316,6.32,0.4005,273,sag
317,6.34,0.3973,270,sag
318,6.36,0.3966,270,sag
319,6.38,0.4062,277,sag
320,6.40,0.4034,275,sag
321,6.42,0.4032,274,sag
322,6.44,0.4041,275,sag
323,6.46,0.4062,277,sag
324,6.48,0.3789,258,sag
325,6.50,0.3964,270,sag
326,6.52,0.3782,257,sag
327,6.54,0.4004,273,sag
328,6.56,0.4000,272,sag
329,6.58,0.4105,279,sag
330,6.60,0.4119,280,sag
331,6.62,0.4020,274,sag
332,6.64,0.3950,269,sag
333,6.66,0.4049,276,sag
334,6.68,0.3947,269,sag
335,6.70,0.4000,272,sag
336,6.72,0.4099,279,sag
337,6.74,0.3944,268,sag
338,6.76,0.4081,278,sag
339,6.78,0.4068,277,sag
340,6.80,0.3905,266,sag
341,6.82,0.4097,279,sag
342,6.84,0.4070,277,sag
343,6.86,0.4010,273,sag
344,6.88,0.3924,267,sag
345,6.90,0.3914,266,sag
346,6.92,0.3946,269,sag
347,6.94,0.4054,276,sag
348,6.96,0.3904,266,sag
349,6.98,0.4044,275,sag
350,7.00,1.0037,684,normal
351,7.02,1.0085,687,normal
352,7.04,0.9943,678,normal
353,7.06,1.0081,687,normal
354,7.08,1.0107,689,normal
355,7.10,1.0023,683,normal
356,7.12,1.0023,683,normal
357,7.14,1.0027,683,normal
358,7.16,0.9914,676,normal
359,7.18,0.9985,680,normal
360,7.20,0.9985,680,normal
361,7.22,1.0038,684,normal
362,7.24,1.0100,688,normal
363,7.26,0.9894,674,normal
364,7.28,0.9987,681,normal
365,7.30,1.0148,692,normal
366,7.32,0.9926,676,normal
367,7.34,0.9918,676,normal
368,7.36,1.0020,683,normal
369,7.38,1.0084,687,normal
370,7.40,1.0001,682,normal
371,7.42,1.0133,691,normal
372,7.44,1.0086,687,normal
373,7.46,1.0084,687,normal
374,7.48,1.0055,685,normal
375,7.50,1.0233,697,normal
376,7.52,0.9979,680,normal
377,7.54,0.9800,668,normal
378,7.56,1.0160,692,normal
379,7.58,0.9954,678,normal
380,7.60,1.0011,682,normal
381,7.62,1.0131,690,normal
382,7.64,0.9840,671,normal
383,7.66,0.9875,673,normal
384,7.68,0.9840,671,normal
385,7.70,0.9921,676,normal
386,7.72,1.0044,684,normal
387,7.74,1.0052,685,normal
388,7.76,1.0028,683,normal
389,7.78,0.9859,672,normal
390,7.80,0.9769,666,normal
391,7.82,1.0005,682,normal
392,7.84,0.9953,678,normal
393,7.86,1.0046,685,normal
394,7.88,1.0070,686,normal
395,7.90,1.0014,682,normal
396,7.92,1.0076,687,normal
397,7.94,1.0023,683,normal
398,7.96,1.0053,685,normal
399,7.98,0.9930,677,normal
400,8.00,0.9982,680,normal
401,8.02,1.0020,683,normal
402,8.04,1.0082,687,normal
403,8.06,0.9961,679,normal
404,8.08,1.0052,685,normal
405,8.10,0.9973,680,normal
406,8.12,0.9988,681,normal
407,8.14,1.0083,687,normal
408,8.16,0.9801,668,normal
409,8.18,0.9870,673,normal
410,8.20,0.9852,671,normal
411,8.22,0.9767,666,normal
412,8.24,0.9932,677,normal
413,8.26,1.0075,687,normal
414,8.28,0.9972,680,normal
415,8.30,1.0020,683,normal
416,8.32,1.0109,689,normal
417,8.34,1.0133,691,normal
418,8.36,0.9993,681,normal
419,8.38,1.0135,691,normal
420,8.40,1.0009,682,normal
421,8.42,0.9916,676,normal
422,8.44,0.9941,677,normal
423,8.46,0.9852,671,normal
424,8.48,0.9911,675,normal
425,8.50,0.9964,679,normal
426,8.52,1.0080,687,normal
427,8.54,1.0172,693,normal
428,8.56,0.9862,672,normal
429,8.58,1.0039,684,normal
430,8.60,0.9896,674,normal
431,8.62,1.0047,685,normal
432,8.64,0.9987,681,normal
433,8.66,0.9817,669,normal
434,8.68,1.0093,688,normal
435,8.70,0.9939,677,normal
436,8.72,0.9947,678,normal
437,8.74,0.9893,674,normal
438,8.76,0.9935,677,normal
439,8.78,1.0043,684,normal
440,8.80,0.9981,680,normal
441,8.82,1.0033,684,normal
442,8.84,1.0036,684,normal
443,8.86,1.0132,691,normal
444,8.88,0.9966,679,normal
445,8.90,0.9852,671,normal
446,8.92,1.0107,689,normal
447,8.94,0.9967,679,normal
448,8.96,1.0111,689,normal
449,8.98,1.0038,684,normal
450,9.00,0.9987,681,normal
451,9.02,1.0035,684,normal
452,9.04,1.0195,695,normal
453,9.06,1.0208,696,normal
454,9.08,1.0007,682,normal
455,9.10,1.0016,683,normal
456,9.12,1.0108,689,normal
457,9.14,0.9915,676,normal
458,9.16,1.0033,684,normal
459,9.18,0.9997,681,normal
460,9.20,1.0031,684,normal
461,9.22,0.9917,676,normal
462,9.24,0.9841,671,normal
463,9.26,0.9793,667,normal
464,9.28,0.9888,674,normal
465,9.30,0.9954,678,normal
466,9.32,0.9971,680,normal
467,9.34,1.0194,695,normal
468,9.36,1.0111,689,normal
469,9.38,0.9904,675,normal
470,9.40,1.0035,684,normal
471,9.42,0.9959,679,normal
472,9.44,0.9972,680,normal
473,9.46,1.0019,683,normal
474,9.48,1.0062,686,normal
475,9.50,0.9966,679,normal
476,9.52,1.0106,689,normal
477,9.54,0.9886,674,normal
478,9.56,1.0001,682,normal
479,9.58,1.0260,699,normal
480,9.60,1.0022,683,normal
481,9.62,1.0143,691,normal
482,9.64,1.0009,682,normal
483,9.66,1.0058,685,normal
484,9.68,0.9994,681,normal
485,9.70,0.9983,680,normal
486,9.72,0.9922,676,normal
487,9.74,1.0043,684,normal
488,9.76,0.9915,676,normal
489,9.78,1.0067,686,normal
490,9.80,1.0109,689,normal
491,9.82,1.0037,684,normal
492,9.84,0.9971,680,normal
493,9.86,1.0045,685,normal
494,9.88,0.9969,679,normal
495,9.90,1.0094,688,normal
496,9.92,0.9817,669,normal
497,9.94,0.9966,679,normal
498,9.96,0.9801,668,normal
499,9.98,0.9850,671,normal
500,10.00,1.0136,691,normal
501,10.02,1.0090,688,normal
502,10.04,0.9928,677,normal
503,10.06,0.9850,671,normal
504,10.08,0.9704,661,normal
505,10.10,0.9946,678,normal
506,10.12,1.0242,698,normal
507,10.14,1.0043,684,normal
508,10.16,0.9944,678,normal
509,10.18,1.0047,685,normal
510,10.20,0.9844,671,normal
511,10.22,0.9970,679,normal
512,10.24,1.0010,682,normal
513,10.26,0.9991,681,normal
514,10.28,1.0079,687,normal
515,10.30,1.0034,684,normal
516,10.32,1.0067,686,normal
517,10.34,0.9931,677,normal
518,10.36,1.0090,688,normal
519,10.38,1.0163,693,normal
520,10.40,0.9903,675,normal
521,10.42,0.9911,675,normal
522,10.44,1.0134,691,normal
523,10.46,0.9981,680,normal
524,10.48,1.0140,691,normal
525,10.50,0.9956,678,normal
526,10.52,1.0146,691,normal
527,10.54,1.0013,682,normal
528,10.56,1.0026,683,normal
529,10.58,1.0156,692,normal
530,10.60,0.9964,679,normal
531,10.62,0.9906,675,normal
532,10.64,0.9955,678,normal
533,10.66,1.0045,685,normal
534,10.68,0.9843,671,normal
535,10.70,1.0064,686,normal
536,10.72,0.9946,678,normal
537,10.74,1.0115,689,normal
538,10.76,0.9761,665,normal
539,10.78,0.9921,676,normal
540,10.80,0.9831,670,normal
541,10.82,0.9917,676,normal
542,10.84,1.0025,683,normal
543,10.86,0.9982,680,normal
544,10.88,0.9975,680,normal
545,10.90,0.9984,680,normal
546,10.92,1.0020,683,normal
547,10.94,0.9899,675,normal
548,10.96,1.0071,686,normal
549,10.98,1.0066,686,normal
550,11.00,1.0039,684,normal
551,11.02,1.0056,685,normal
552,11.04,1.0030,684,normal
553,11.06,1.0204,695,normal
554,11.08,0.9991,681,normal
555,11.10,0.9969,679,normal
556,11.12,0.9925,676,normal
557,11.14,0.9897,674,normal
558,11.16,0.9876,673,normal
559,11.18,0.9911,675,normal
560,11.20,0.9993,681,normal
561,11.22,1.0033,684,normal
562,11.24,1.0005,682,normal
563,11.26,0.9923,676,normal
564,11.28,1.0090,688,normal
565,11.30,1.0074,687,normal
566,11.32,0.9984,680,normal
567,11.34,0.9935,677,normal
568,11.36,1.0055,685,normal
569,11.38,1.0019,683,normal
570,11.40,0.9855,672,normal
571,11.42,0.9993,681,normal
572,11.44,1.0026,683,normal
573,11.46,0.9910,675,normal
574,11.48,1.0019,683,normal
575,11.50,0.9855,672,normal
576,11.52,1.0134,691,normal
577,11.54,1.0125,690,normal
578,11.56,0.9975,680,normal
579,11.58,1.0036,684,normal
580,11.60,0.9759,665,normal
581,11.62,0.9884,674,normal
582,11.64,0.9971,679,normal
583,11.66,0.9893,674,normal
584,11.68,1.0071,686,normal
585,11.70,1.0200,695,normal
586,11.72,0.9882,673,normal
587,11.74,0.9916,676,normal
588,11.76,1.0024,683,normal
589,11.78,1.0161,692,normal
590,11.80,0.9878,673,normal
591,11.82,1.0025,683,normal
592,11.84,1.0182,694,normal
593,11.86,0.9835,670,normal
594,11.88,0.9872,673,normal
595,11.90,0.9958,679,normal
596,11.92,0.9948,678,normal
597,11.94,1.0081,687,normal
598,11.96,1.0024,683,normal
599,11.98,0.9823,669,normal
600,12.00,1.0052,685,normal
601,12.02,0.9942,678,normal
602,12.04,1.0127,690,normal
603,12.06,0.9937,677,normal
604,12.08,0.9936,677,normal
605,12.10,1.0054,685,normal
606,12.12,1.0076,687,normal
607,12.14,1.0045,685,normal
608,12.16,0.9831,670,normal
609,12.18,1.0054,685,normal
610,12.20,0.9897,674,normal
611,12.22,1.0024,683,normal
612,12.24,0.9858,672,normal
613,12.26,1.0045,685,normal
614,12.28,0.9919,676,normal
615,12.30,0.9872,673,normal
616,12.32,1.0071,686,normal
617,12.34,1.0024,683,normal
618,12.36,0.9939,677,normal
619,12.38,1.0145,691,normal
620,12.40,0.9956,678,normal
621,12.42,1.0003,682,normal
622,12.44,1.0027,683,normal
623,12.46,0.9938,677,normal
624,12.48,1.0047,685,normal
625,12.50,0.9947,678,normal
626,12.52,0.9959,679,normal
627,12.54,1.0136,691,normal
628,12.56,0.9896,674,normal
629,12.58,0.9759,665,normal
630,12.60,1.0161,692,normal
631,12.62,1.0255,699,normal
632,12.64,0.9959,679,normal
633,12.66,0.9806,668,normal
634,12.68,0.9969,679,normal
635,12.70,0.9971,680,normal
636,12.72,0.9981,680,normal
637,12.74,0.9889,674,normal
638,12.76,1.0058,685,normal
639,12.78,1.0052,685,normal
640,12.80,0.9851,671,normal
641,12.82,1.0070,686,normal
642,12.84,1.0205,695,normal
643,12.86,1.0017,683,normal
644,12.88,0.9966,679,normal
645,12.90,0.9986,681,normal
646,12.92,1.0062,686,normal
647,12.94,0.9827,670,normal
648,12.96,1.0016,683,normal
649,12.98,0.9961,679,normal
650,13.00,1.2876,878,surge
651,13.02,1.2980,885,surge
652,13.04,1.3011,887,surge
653,13.06,1.3245,903,surge
654,13.08,1.2862,877,surge
655,13.10,1.3147,896,surge
656,13.12,1.3015,887,surge
657,13.14,1.3041,889,surge
658,13.16,1.3012,887,surge
659,13.18,1.3044,889,surge
660,13.20,1.2985,885,surge
661,13.22,1.3145,896,surge
662,13.24,1.2954,883,surge
663,13.26,1.3113,894,surge
664,13.28,1.2936,882,surge
665,13.30,1.2994,886,surge
666,13.32,1.2893,879,surge
667,13.34,1.3046,889,surge
668,13.36,1.3145,896,surge
669,13.38,1.2992,886,surge
670,13.40,1.2980,885,surge
671,13.42,1.2889,878,surge
672,13.44,1.2977,885,surge
673,13.46,1.2841,875,surge
674,13.48,1.2909,880,surge
675,13.50,1.3023,888,surge
676,13.52,1.3132,895,surge
677,13.54,1.3281,905,surge
678,13.56,1.2941,882,surge
679,13.58,1.3144,896,surge
680,13.60,1.0082,687,normal
681,13.62,1.0063,686,normal
682,13.64,1.0125,690,normal
683,13.66,0.9948,678,normal
684,13.68,0.9956,679,normal
685,13.70,0.9952,678,normal
686,13.72,1.0079,687,normal
687,13.74,1.0150,692,normal
688,13.76,0.9954,678,normal
689,13.78,0.9958,679,normal
690,13.80,1.0031,684,normal
691,13.82,0.9975,680,normal
692,13.84,1.0095,688,normal
693,13.86,0.9775,666,normal
694,13.88,0.9917,676,normal
695,13.90,0.9922,676,normal
696,13.92,0.9768,666,normal
697,13.94,0.9904,675,normal
698,13.96,0.9908,675,normal
699,13.98,0.9980,680,normal
700,14.00,1.0111,689,normal
701,14.02,0.9975,680,normal
702,14.04,0.9897,674,normal
703,14.06,0.9994,681,normal
704,14.08,1.0105,689,normal
705,14.10,0.9902,675,normal
706,14.12,0.9909,675,normal
707,14.14,1.0056,685,normal
708,14.16,0.9978,680,normal
709,14.18,1.0065,686,normal
710,14.20,0.9999,681,normal
711,14.22,1.0070,686,normal
712,14.24,0.9896,674,normal
713,14.26,0.9999,681,normal
714,14.28,0.9979,680,normal
715,14.30,0.9878,673,normal
716,14.32,0.9844,671,normal
717,14.34,1.0069,686,normal
718,14.36,0.9965,679,normal
719,14.38,0.9898,675,normal
720,14.40,0.9990,681,normal
721,14.42,1.0113,689,normal
722,14.44,0.9772,666,normal
723,14.46,0.9850,671,normal
724,14.48,0.9908,675,normal
725,14.50,1.0146,691,normal
726,14.52,1.0028,683,normal
727,14.54,1.0077,687,normal
728,14.56,0.9886,674,normal
729,14.58,0.9888,674,normal
730,14.60,1.0045,685,normal
731,14.62,1.0006,682,normal
732,14.64,1.0055,685,normal
733,14.66,0.9981,680,normal
734,14.68,1.0028,683,normal
735,14.70,1.0016,683,normal
736,14.72,1.0078,687,normal
737,14.74,1.0081,687,normal
738,14.76,0.9838,670,normal
739,14.78,0.9775,666,normal
740,14.80,1.0100,688,normal
741,14.82,1.0119,690,normal
742,14.84,0.9898,675,normal
743,14.86,0.9814,669,normal
744,14.88,1.0010,682,normal
745,14.90,1.0093,688,normal
746,14.92,1.0180,694,normal
747,14.94,1.0052,685,normal
748,14.96,0.9963,679,normal
749,14.98,0.9911,675,normal
750,15.00,1.0001,682,normal
751,15.02,0.9970,679,normal
752,15.04,0.9898,675,normal
753,15.06,1.0205,695,normal
754,15.08,1.0179,694,normal
755,15.10,1.0114,689,normal
756,15.12,0.9908,675,normal
757,15.14,1.0086,687,normal
758,15.16,1.0064,686,normal
759,15.18,1.0044,685,normal
760,15.20,1.0125,690,normal
761,15.22,1.0064,686,normal
762,15.24,1.0074,687,normal
763,15.26,1.0064,686,normal
764,15.28,1.0034,684,normal
765,15.30,0.9822,669,normal
766,15.32,1.0008,682,normal
767,15.34,0.9944,678,normal
768,15.36,0.9872,673,normal
769,15.38,1.0168,693,normal
770,15.40,1.0173,693,normal
771,15.42,1.0136,691,normal
772,15.44,1.0026,683,normal
773,15.46,1.0135,691,normal
774,15.48,1.0001,682,normal
775,15.50,1.0020,683,normal
776,15.52,0.9891,674,normal
777,15.54,1.0040,684,normal
778,15.56,1.0006,682,normal
779,15.58,0.9870,673,normal
780,15.60,0.9995,681,normal
781,15.62,0.9992,681,normal
782,15.64,1.0180,694,normal
783,15.66,1.0089,688,normal
784,15.68,1.0001,682,normal
785,15.70,1.0025,683,normal
786,15.72,1.0004,682,normal
787,15.74,0.9980,680,normal
788,15.76,0.9892,674,normal
789,15.78,0.9985,680,normal
790,15.80,0.9925,676,normal
791,15.82,0.9875,673,normal
792,15.84,1.0051,685,normal
793,15.86,1.0039,684,normal
794,15.88,0.9821,669,normal
795,15.90,0.9988,681,normal
796,15.92,1.0100,688,normal
797,15.94,1.0106,689,normal
798,15.96,1.0103,688,normal
799,15.98,1.0004,682,normal
800,16.00,0.9915,676,normal
801,16.02,0.9892,674,normal
802,16.04,1.0034,684,normal
803,16.06,1.0038,684,normal
804,16.08,1.0129,690,normal
805,16.10,1.0110,689,normal
806,16.12,0.9987,681,normal
807,16.14,0.9876,673,normal
808,16.16,0.9968,679,normal
809,16.18,1.0022,683,normal
810,16.20,0.9980,680,normal
811,16.22,0.9942,678,normal
812,16.24,1.0025,683,normal
813,16.26,0.9950,678,normal
814,16.28,0.9937,677,normal
815,16.30,1.0031,684,normal
816,16.32,0.9960,679,normal
817,16.34,1.0024,683,normal
818,16.36,1.0027,683,normal
819,16.38,0.9886,674,normal
820,16.40,0.9952,678,normal
821,16.42,1.0144,691,normal
822,16.44,0.9884,674,normal
823,16.46,0.9788,667,normal
824,16.48,0.9814,669,normal
825,16.50,1.0003,682,normal
826,16.52,1.0003,682,normal
827,16.54,0.9988,681,normal
828,16.56,1.0121,690,normal
829,16.58,0.9733,663,normal
830,16.60,1.0040,684,normal
831,16.62,1.0156,692,normal
832,16.64,0.9887,674,normal
833,16.66,0.9962,679,normal
834,16.68,0.9925,676,normal
835,16.70,0.9911,675,normal
836,16.72,0.9967,679,normal
837,16.74,1.0143,691,normal
838,16.76,1.0184,694,normal
839,16.78,0.9966,679,normal
840,16.80,1.0191,694,normal
841,16.82,1.0004,682,normal
842,16.84,1.0175,693,normal
843,16.86,0.9991,681,normal
844,16.88,1.0013,682,normal
845,16.90,1.0037,684,normal
846,16.92,1.0318,703,normal
847,16.94,1.0085,687,normal
848,16.96,0.9929,677,normal
849,16.98,1.0097,688,normal
850,17.00,0.9964,679,normal
851,17.02,0.9951,678,normal
852,17.04,1.0091,688,normal
853,17.06,1.0003,682,normal
854,17.08,1.0028,683,normal
855,17.10,1.0001,682,normal
856,17.12,1.0034,684,normal
857,17.14,1.0042,684,normal
858,17.16,0.9806,668,normal
859,17.18,1.0067,686,normal
860,17.20,0.9902,675,normal
861,17.22,0.9856,672,normal
862,17.24,0.9994,681,normal
863,17.26,1.0008,682,normal
864,17.28,0.9931,677,normal
865,17.30,1.0083,687,normal
866,17.32,0.9866,672,normal
867,17.34,0.9959,679,normal
868,17.36,0.9942,678,normal
869,17.38,0.9995,681,normal
870,17.40,1.0028,683,normal
871,17.42,0.9899,675,normal
872,17.44,1.0072,686,normal
